entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
STL-IE2K9YHP,payment,0,1713938,1713938,INR,0,0,False,True,1736396520,1736512800,SB-1-20250110,,default,,,,UTRZYR2WIFQ3,order_i8W92IRFIk17Ci,ORD-1-0029,upi,,,,
rfnd_dBURdk7hnXfVH5,refund,508301,0,508301,INR,0,0,False,True,1736512800,1736512800,SB-1-20250110,,default,Partial refund,,STL-IE2K9YHP,UTRZYR2WIFQ3,order_i8W92IRFIk17Ci,ORD-1-0029,upi,,,,
STL-1UTBXV2X,payment,0,2743697,2743697,INR,0,0,False,True,1736587800,1736830560,SB-1-20250114,,default,,,,UTRCAKH9MJTM,order_zH1rcD4doM5x6R,ORD-1-0031,upi,,,,
STL-XVE0ZMB3,payment,0,4627593,4627593,INR,0,0,False,True,1736319060,1736409420,SB-1-20250109,,default,,,,UTRRWA61TBIA,order_oKwTWchspTDqia,ORD-1-0032,upi,,,,
CB-XUQJ14YG,adjustment,4627593,0,4627593,INR,0,0,False,True,1737619020,1737619020,SB-1-20250123,,default,Chargeback adjustment,,STL-XVE0ZMB3,UTR0VKZ8JZ1N,order_oKwTWchspTDqia,ORD-1-0032,upi,,,,disp_35ghi01EUoifUP
STL-EQLMS9MX,payment,0,2178162,2178162,INR,0,0,False,True,1736690640,1736838840,SB-1-20250114,,default,,,,UTRCAKH9MJTM,order_SyL5JeMVk6vKTY,ORD-1-0033,upi,,,,
STL-O4QAQ57I,payment,0,950968,952384,INR,1416,216,False,True,1736405220,1736754420,SB-1-20250113,,default,,,,UTRW7U2NI6K4,order_VUF1ngHmngZN7v,ORD-1-0035,netbanking,,,,
STL-SR25910P,payment,0,4503192,4503192,INR,0,0,False,True,1736247180,1736316000,SB-1-20250108,,default,,,,UTRRTKJBZVT8,order_FtNLvivIEoTF5J,ORD-1-0036,upi,,,,
rfnd_zb13hvDCH7MuCS,refund,1546453,0,1546453,INR,0,0,False,True,1736316000,1736316000,SB-1-20250108,,default,Partial refund,,STL-SR25910P,UTRRTKJBZVT8,order_FtNLvivIEoTF5J,ORD-1-0036,upi,,,,
STL-2XWXQ6AX,payment,0,2309491,2334285,INR,24791,3782,False,True,1736581500,1736921280,SB-1-20250115,,default,,,,UTRXQZND9HZ4,order_NdiUCY47UYbw9H,ORD-1-0037,card,,,debit,
STL-X9ZXD99R,payment,0,998787,1022929,INR,24142,3683,False,True,1736168220,1736335740,SB-1-20250108,,default,,,,UTRRTKJBZVT8,order_32PdkpvNZdHqtZ,ORD-1-0038,card,,,credit,
STL-3ZESTKGS,payment,0,1570918,1570918,INR,0,0,False,True,1736174280,1736258340,SB-1-20250107,,default,,,,UTRYKR1A4J7Y,order_FnM04silsi8lkf,ORD-1-0039,upi,,,,
STL-6LVGHAIL,payment,0,1000114,1001530,INR,1416,216,False,True,1736334360,1736508900,SB-1-20250110,,default,,,,UTRZYR2WIFQ3,order_pdtqAdLsanFsiA,ORD-1-0040,netbanking,,,,
STL-1Q2D1JDP,payment,0,656173,672033,INR,15860,2419,False,True,1736608380,1736936520,SB-1-20250115,,default,,,,UTRXQZND9HZ4,order_AGbalQ9KlO4iBj,ORD-1-0041,card,,,credit,
STL-DTKRUB9D,payment,0,1117267,1144272,INR,27005,4120,False,True,1736608380,1737022920,SB-1-20250116,,default,,,,UTRQ1EKPO2ZV,order_AGbalQ9KlO4iBj,ORD-1-0041,card,,,credit,
STL-7FMD1HLX,payment,0,2184013,2207456,INR,23443,3576,False,True,1736395920,1736755200,SB-1-20250113,,default,,,,UTRW7U2NI6K4,order_ygopTOy4hMWlri,ORD-1-0043,card,,,debit,
STL-IB8MH8EP,payment,0,127205,127205,INR,0,0,False,True,1736497740,1736759100,SB-1-20250113,,default,,,,UTRW7U2NI6K4,order_yF3CirkNuCimun,ORD-1-0044,upi,,,,
STL-JRTWLF2J,payment,0,3028766,3028766,INR,0,0,False,True,1736684100,1736827560,SB-1-20250114,,default,,,,UTRCAKH9MJTM,order_JWfUulzxslRc6F,ORD-1-0045,upi,,,,
CB-IC390D1B,adjustment,3028766,0,3028766,INR,0,0,False,True,1738037160,1738037160,SB-1-20250128,,default,Chargeback adjustment,,STL-JRTWLF2J,UTR0A5JO76QT,order_JWfUulzxslRc6F,ORD-1-0045,upi,,,,disp_7W8H5f0z24Ncxs
STL-RQ0RTNVY,payment,0,484519,484519,INR,0,0,False,True,1736608020,1736861700,SB-1-20250114,,default,,,,UTRCAKH9MJTM,order_DvOzHsgWuLOaMS,ORD-1-0046,upi,,,,
STL-OACMBKN9,payment,0,4326600,4373041,INR,46441,7084,False,True,1736412300,1736740860,SB-1-20250113,,default,,,,UTRW7U2NI6K4,order_gzKZuO8a605l4N,ORD-1-0047,card,,,debit,
STL-RRHJEAQM,payment,0,2964215,2996033,INR,31818,4854,False,True,1736566140,1736918880,SB-1-20250115,,default,,,,UTRXQZND9HZ4,order_ozl6XytTZEdyig,ORD-1-0048,card,,,debit,
STL-VQ74YONK,payment,0,893687,903280,INR,9593,1463,False,True,1736338140,1736510640,SB-1-20250110,,default,,,,UTRZYR2WIFQ3,order_1LXc6Uw3M5yrB4,ORD-1-0050,card,,,debit,
STL-102YDLJS,payment,0,3276777,3276777,INR,0,0,False,True,1736329620,1736432940,SB-1-20250109,,default,,,,UTRRWA61TBIA,order_iQbRkQ1a6plrWu,ORD-1-0051,upi,,,,
rfnd_PUWyjTcX1lfjYc,refund,485471,0,485471,INR,0,0,False,True,1736432940,1736432940,SB-1-20250109,,default,Partial refund,,STL-102YDLJS,UTRRWA61TBIA,order_iQbRkQ1a6plrWu,ORD-1-0051,upi,,,,
STL-QI2C1932,payment,0,1552287,1568950,INR,16663,2542,False,True,1736347440,1736515500,SB-1-20250110,,default,,,,UTRZYR2WIFQ3,order_2aDtY4WwXmP6YB,ORD-1-0052,card,,,debit,
STL-CRPXMLKP,payment,0,2463696,2465112,INR,1416,216,False,True,1736440020,1736745840,SB-1-20250113,,default,,,,UTRW7U2NI6K4,order_R0VZi1nyCYWmO6,ORD-1-0053,netbanking,,,,
STL-IW539E3O,payment,0,2982248,3054331,INR,72083,10996,False,True,1736528220,1736864160,SB-1-20250114,,default,,,,UTRCAKH9MJTM,order_Bn9djWcylKi3U2,ORD-1-0055,card,,,credit,
STL-J0PSGHYV,payment,0,3904011,3905430,INR,1416,216,False,True,1736326320,1736515800,SB-1-20250110,,default,,,,UTRZYR2WIFQ3,order_CPOpKFuh0sivJG,ORD-1-0057,netbanking,,,,
STL-V4SIZG7S,payment,0,3762233,3762233,INR,0,0,False,True,1736325420,1736410680,SB-1-20250109,,default,,,,UTRRWA61TBIA,order_dplhlJvBsz6l0G,ORD-1-0058,upi,,,,
STL-WYHZK12R,payment,0,882501,891974,INR,9473,1445,False,True,1736490600,1736831760,SB-1-20250114,,default,,,,UTRCAKH9MJTM,order_oEBPThUtTEqlmn,ORD-1-9806,card,,,debit,
